1447799514 1  401 1
1447799524 2  401 1
1447799534 3  401 1
1447799544 4  401 1
1447799554 5  401 1
1447799564 6  401 1
1447799574 7  401 1
1447799575 1  200 56 401 0 302 2
1447799584 8  401 1
1447799589 2  200 57 401 0 302 2
1447799594 9  401 1
1447799596 3  200 52 401 0 302 2
1447799604 10  401 1
1447799607 4  200 55 401 0 302 2
1447799614 11  401 1
1447799618 5  200 57 401 0 302 2
1447799624 12  401 1
1447799625 6  200 52 401 0 302 2
1447799634 13  401 1
1447799638 7  200 53 401 0 302 2
1447799638 1  200 47 401 0 302 0
1447799644 14  401 1
1447799645 8  200 54 401 0 302 2
1447799650 2  200 46 401 0 302 0
1447799654 15  401 1
1447799657 9  200 52 401 0 302 2
1447799657 3  200 46 401 0 302 0
1447799667 10  200 55 401 0 302 2
1447799667 4  200 47 401 0 302 0
1447799697 12  200 40 401 0 302 2
1447799697 6  200 34 401 0 302 0
1447799698 5  200 39 401 0 302 0
1447799698 13  200 31 401 0 302 2
1447799698 11  200 50 401 0 302 2
1447799702 7  200 27 401 0 302 0
1447799703 1  200 27 401 0 302 0
1447799705 14  200 31 401 0 302 2
1447799709 8  200 25 401 0 302 0
1447799710 2  200 24 401 0 302 0
1447799716 15  200 28 401 0 302 2
1447799717 3  200 27 401 0 302 0
1447799721 9  200 27 401 0 302 0
1447799728 4  200 24 401 0 302 0
1447799728 10  200 24 401 0 302 0
1447799758 12  200 46 401 0 302 0
1447799758 6  200 46 401 0 302 0
1447799758 11  200 46 401 0 302 0
1447799758 13  200 47 401 0 302 0
1447799758 5  200 46 401 0 302 0
1447799764 1  200 46 401 0 302 0
1447799764 7  200 47 401 0 302 0
1447799765 14  200 45 401 0 302 0
1447799770 8  200 46 401 0 302 0
1447799770 2  200 44 401 0 302 0
1447799777 3  200 42 401 0 302 0
1447799777 15  200 46 401 0 302 0
1447799784 9  200 47 401 0 302 0
1447799790 4  200 47 401 0 302 0
1447799792 10  200 47 401 0 302 0
1447799818 12  200 46 401 0 302 0
1447799818 13  200 47 401 0 302 0
1447799818 11  200 47 401 0 302 0
1447799818 6  200 46 401 0 302 0
1447799823 5  200 49 401 0 302 0
1447799824 1  200 46 401 0 302 0
1447799825 14  200 46 401 0 302 0
1447799825 7  200 48 401 0 302 0
1447799831 2  200 46 401 0 302 0
1447799831 8  200 46 401 0 302 0
1447799837 3  200 46 401 0 302 0
1447799838 15  200 47 401 0 302 0
1447799844 9  200 47 401 0 302 0
1447799850 4  200 46 401 0 302 0
1447799853 10  200 50 401 0 302 0
1447799878 12  200 46 401 0 302 0
1447799878 6  200 46 401 0 302 0
1447799879 13  200 46 401 0 302 0
1447799880 11  200 46 401 0 302 0
1447799908 1  200 44 401 0 302 0
1447799908 15  200 33 401 0 302 0
1447799908 5  200 45 401 0 302 0
1447799908 2  200 40 401 0 302 0
1447799908 14  200 42 401 0 302 0
1447799908 7  200 42 401 0 302 0
1447799908 8  200 34 401 0 302 0
1447799909 3  200 34 401 0 302 0
1447799909 9  200 28 401 0 302 0
1447799914 10  200 26 401 0 302 0
1447799914 4  200 27 401 0 302 0
1447799939 6  200 24 401 0 302 0
1447799940 12  200 24 401 0 302 0
1447799940 11  200 26 401 0 302 0
1447799942 13  200 27 401 0 302 0
1447799968 7  200 46 401 0 302 0
1447799969 15  200 48 401 0 302 0
1447799969 1  200 48 401 0 302 0
1447799971 3  200 46 401 0 302 0
1447799971 8  200 46 401 0 302 0
1447799971 9  200 46 401 0 302 0
1447799971 2  200 47 401 0 302 0
1447799971 5  200 47 401 0 302 0
1447799971 14  200 47 401 0 302 0
1447799977 4  200 46 401 0 302 0
1447799977 10  200 47 401 0 302 0
1447800000 6  200 50 401 0 302 0
1447800002 12  200 46 401 0 302 0
1447800002 13  200 44 401 0 302 0
1447800003 11  200 45 401 0 302 0
1447800030 1  200 50 401 0 302 0
1447800031 7  200 44 401 0 302 0
1447800031 3  200 47 401 0 302 0
1447800031 5  200 47 401 0 302 0
1447800032 14  200 48 401 0 302 0
1447800032 15  200 49 401 0 302 0
1447800032 9  200 43 401 0 302 0
1447800032 2  200 46 401 0 302 0
1447800032 8  200 43 401 0 302 0
1447800037 4  200 46 401 0 302 0
1447800037 10  200 48 401 0 302 0
1447800062 6  200 47 401 0 302 0
1447800062 13  200 46 401 0 302 0
1447800063 11  200 49 401 0 302 0
1447800063 12  200 46 401 0 302 0
1447800091 1  200 48 401 0 302 0
1447800091 5  200 45 401 0 302 0
1447800091 3  200 45 401 0 302 0
1447800121 14  200 45 401 0 302 0
1447800121 10  200 42 401 0 302 0
1447800121 4  200 44 401 0 302 0
1447800121 7  200 47 401 0 302 0
1447800121 15  200 47 401 0 302 0
1447800121 9  200 47 401 0 302 0
1447800121 2  200 47 401 0 302 0
1447800121 8  200 47 401 0 302 0
1447800123 13  200 26 401 0 302 0
